No,News Title,Class,Prediction
57739,Driving the week: All eyes on the portals More Dems step out on net neutrality  ...,Technology,Technology
63471,Samsung Galaxy Tab Pro 10.1 vs Samsung Galaxy Note 10.1 (2014 edition  ...,Technology,Technology
37500,Investors agree details of Alitalia sale,Business,Business
63218,Vietnam wants India to 'rise quickly' to counter China,Business,Business
48544,"Valve announces delay of Steam Machine and Steam Controller, possible  ...",Technology,Technology
63797,"Now Google+ Shows You How Many Times Your Profile, Content Have Been  ...",Technology,Technology
10505,Tech: Top 10 Reasons Not to Buy Goog…,Technology,Business
49224,Rapper 'linked to Wu-Tang Clan chopped off his own penis before attempting to  ...,Entertainment,Entertainment
17422,China: 'Supersonic' Submarine to Cover Shanghai to San Francisco in Under  ...,Technology,Business
1513,"Ford, Toyota Sales Top Estimates in Big Month for SUVs",Business,Technology
812,Sequel lacks that Muppetational spirit,Entertainment,Entertainment
7037,"Spending Record Store Day With Jack White, the Holiday's Living Embodiment",Entertainment,Entertainment
1398,Bitcoin Software Fixed to Avoid Another Mt. Gox,Business,Business
6217,More photos of Kurt Cobain suicide scene released,Entertainment,Entertainment
2920,"Bonnie Says: Justin Bieber, dump Selena Gomez",Entertainment,Entertainment
43919,"HP redefines affordability, rolls out $100 7 Plus tablet stateside",Technology,Technology
15064,Contract Negotiations Stall Big Bang Theory Production,Entertainment,Entertainment
65386,Being bilingual can keep mind sharp,Medical,Medical
40373,Benzino 'shot by nephew' while riding in his mother's funeral procession,Entertainment,Entertainment
54320,Yellen warns housing weakness weighing on US recovery,Business,Business
50780,Directed by: Ivan Reitman,Entertainment,Entertainment
44831,Selena Gomez warns young people of fame 'pressure' after rehab stay,Entertainment,Entertainment
43396,The impacts of climate change,Business,Technology
8186,Valeant Reports Mixed Q1 Amid Drug Earnings Bonanza,Business,Business
56177,Black Rock Creek golfers take the ALS ice bucket challenge,Entertainment,Entertainment
4942,Three new Guardians of the Galaxy images,Entertainment,Entertainment
50837,Holiday travel in region predicted to increase despite Connecticut's high gas prices,Technology,Business
49622,Hot car models at this year's New York Auto Show,Technology,Technology
41068,"Apple Failed To Send Texts To Users' New Phones, Suit Says",Technology,Technology
27710,US Private Sector Employment Jumps More Than Expected In June,Business,Business
34196,"'SNL' perfectly explains that Solange, Jay-Z elevator fight",Entertainment,Entertainment
6545,Blackberry Q10 vs Samsung Galaxy S4 - Specs and Price Comparison,Technology,Technology
64043,Mysterious 'Magic Island' Appears On Saturn's Moon Titan,Technology,Technology
14366,AOL.com Article - Beef filet filling but cash is what they came for,Business,Business
38947,Macaulay Culkin's pizza-themed band was booed off stage,Entertainment,Entertainment
51867,BlackBerry's Q4 Loss Narrower than Expected,Business,Business
58355,It's binge and tell for LiLo,Entertainment,Entertainment
32925,"BlackBerry narrows loss to $423M in Q4, revenue falls to $976M",Business,Business
21152,Keighley's Chewbacca is back with original cast in new Star Wars film,Entertainment,Entertainment
19400,Destination Maternity aims to snuggle down with Mothercare,Business,Business
9482,Indiana begins adopting 911-texting service,Technology,Technology
7935,NASA Images Show Our Air Is Getting Cleaner,Technology,Technology
49214,"David Brockie, frontman for heavy metal band Gwar, found dead at home",Entertainment,Entertainment
24544,Chikungunya Cases Are Being Reported in Indiana,Medical,Medical
29067,EU starts preparing sanctions against Russia,Business,Business
42753,First Round Of Marijuana Stores To Get State Licenses Today,Business,Business
52046,Dollar – 3 Reasons Why Recovery Won't be Easy,Business,Business
59992,Dawn of the Planet of the Apes,Technology,Entertainment
38038,Leaked memo: Nokia to be renamed Microsoft Mobile,Technology,Technology
11107,Maroons after a fast start,Entertainment,Business
38179,Google and Novartis to work together on “smart” contact lens for health,Technology,Technology
53564,"University of Kansas Hospital, St. Luke's among nation's best in U.S. News  ...",Medical,Medical
2685,"HK demand for democracy gains steam, leader pelted with water",Business,Business
34897,Nia Sanchez crowned as 63rd Miss US,Entertainment,Entertainment
21519,Cell phone unlocking bill appears set to become law,Technology,Technology
30071,Nokia halts Lumia 2520 tablet sales after a shocking discovery,Technology,Technology
18764,Verizon Inks 10MW Deal With SunPower For Solar Sites In Five States,Business,Business
63105,New teaser trailer for Doctor Who series 8,Entertainment,Entertainment
143,European stocks end higher,Business,Business
13524,Tokyo shares lose ground by break,Business,Business
43254,Twitter Launches a Major User Profile Redesign,Technology,Technology
14629,'Bears' a visual feast but too warm and cuddly,Entertainment,Entertainment
21870,"NY attorney general probes high-speed stock trades, wants them curbed",Business,Business
62898,FDA Feels Need of Changing Food Labels,Medical,Medical
5974,Boy's story of 'Heaven' lacks divine inspiration,Entertainment,Entertainment
9933,Ice influence will prevent some cold spells,Technology,Technology
14398,Samsung chairman Lee Kun Hee stable after surgery,Medical,Medical
14321,LG G2 KitKat Update Android 4.4.2 Bugs Fixes,Technology,Technology
8979,X-Men: Days of Future Past Trailer 2 Released With New Poster,Entertainment,Entertainment
51220,Chelsea Handler Says Goodbye To 'Lately' With Star-Studded Finale,Entertainment,Entertainment
15676,"Lana Del Rey Split, Ends Engagement to Fiance Barrie-James O'Neill: Report",Entertainment,Entertainment
30945,NASA Greenlights Cargo Capsule Launch Monday,Technology,Technology
6130,Netflix Officially Set to Arrive on US Cable Boxes,Entertainment,Entertainment
29658,Larry Page Wants You to Work Less,Technology,Entertainment
8786,Trailer For 'The Hobbit: The Battle Of The Five Armies' Prepares For the Final Battle,Entertainment,Entertainment
5227,GM recalls 56214 Saturn Auras because transmission shift cables can fail,Technology,Technology
34090,"Transformers sequel, McCarthy flick fizzle at box office",Entertainment,Entertainment
1767,Creationists Demand Airtime on 'Cosmos' for the Sake of Scientific Balance  ...,Technology,Technology
14353,US concerned over labour rights and workplace safety in Bangladesh,Business,Business
11246,Xbox Studios Close to Deal with Showtime for Live Action Halo TV Series,Technology,Technology
59853,Captain America The Winter Soldier: Photos From The London Premiere,Entertainment,Entertainment
17995,"Khloé Kardashian, French Montana Dating: 'Keeping Up With The Kardashians  ...",Entertainment,Entertainment
63112,"Air Force launches classified satellite for US national security, details kept secret",Technology,Technology
43710,Dropbox's new app Carousel creates portable shoebox for photos,Technology,Technology
8829,Sinead O'Connor reveals new image for album inspired by Ban Bossy campaign,Entertainment,Entertainment
22550,UPDATE: Video Q and A with Researchers | Study Proves Physical Activity  ...,Medical,Medical
61919,Photographer Annie Leibovitz Dropped Out Of Kim And Kanye's Wedding? Of  ...,Entertainment,Entertainment
54997,150 tech companies press government for net neutrality in joint letter,Technology,Technology
22801,Scientists grow viable vaginas from girls' own cells,Medical,Medical
8087,Moderate drinking is dangerous for pregnancy,Medical,Medical
44553,"Fight for free, open Internet renewed as FCC considers new regulations",Technology,Technology
36687,GE Seeks to Raise $3.1 Billion in Synchrony Financial IPO -- 2nd Update,Business,Business
22085,'Sons of Guns' Canceled: 5 Fast Facts You Need to Know,Entertainment,Entertainment
15168,Amazon is Reportedly in the Hunt to Buy Twitch Too,Technology,Technology
50779,Apple offers free iPhone 5 battery replacement for some,Technology,Technology
4284,iTunes Considers On-Demand Streaming and Android App…,Technology,Technology
33322,Lindsay Lohan's Mom Pleads Guilty To DWI Charge,Entertainment,Entertainment
38037,"Salmonella linked to Calif. chicken plant ongoing, 574 sickened",Medical,Medical
52001,Animal welfare activists protest outside Liam Neeson's home,Entertainment,Entertainment
48096,Attending a Seder is common practice for American Jews,Entertainment,Entertainment
1368,Windows XP Support Expiration Doesn't Mean It's Time to Panic,Technology,Technology
39866,Zac Efron comedy “Neighbors” beats “Amazing Spider-Man 2” at box office,Entertainment,Entertainment
44967,Maker of hit puzzle game '2048' says he created it over a weekend,Technology,Entertainment
42221,BoJ Minutes: Members Split On Risk To Inflation,Business,Business
13477,Turbo Tax Filers in SC May Encounter Delays Because of Potential Error,Business,Business
20141,Mila Kunis: expecting baby with Ashton Kutcher?,Entertainment,Entertainment
53233,"Chromecast No Longer Amazon's Top Seller, thanks to Fire TV",Entertainment,Entertainment
44803,"Gold, Silver, PGMs: Near-term Volatility in Price Performance",Business,Business
16266,Costner hopes for a Gridiron of Dreams,Entertainment,Entertainment
46120,Boeing (BA) 787 Dreamliner Deemed Safe By FAA Review,Business,Business
11029,Harvard set to investigate STAP cell publications,Medical,Entertainment
43147,Watch: Josh Hutcherson in First 'The Hunger Games: Mockingjay' Teaser Trailer,Entertainment,Entertainment
23498,Chris Martin Finds Love in Coldplay's New Music Video For “Magic” (VIDEO),Entertainment,Entertainment
43171,Ebola zone countries isolated as airlines stop flights (Update),Medical,Medical
8783,Asian Market Update Asian markets mixed with Nikkei near 2-month high  ...,Business,Business
886,JOHN ROBSON,Technology,Entertainment
63311,Global Times warns Hong Kong could become the next 'Ukraine or Thailand',Business,Business
34820,JK Rowling to pen new film trilogy,Entertainment,Entertainment
2413,Dai-ichi Life to Pay $5.7B for Protective Life,Business,Business
55127,Google Doodle celebrates Rubik's Cube's 40th birthday,Technology,Technology
40453,"Facebook has a new app, but it's for VIPs only",Technology,Technology
21967,The Walking Dead: Rick Grimes is back,Entertainment,Entertainment
42403,"Here's why MannKind Corporation (NASDAQ:MNKD), 4 others declined  ...",Medical,Medical
50667,How To Stay Secure from the Heartbleed Bug,Technology,Technology
43520,Noah floats to top of US box office with $US44m debut,Entertainment,Entertainment
10304,Three New Recalls From GM,Business,Technology
43217,Peanuts 3D CG-Animated Feature Film Teaser Trailer Video,Entertainment,Entertainment
39931,"AOL posts steep drop in 1Q profit, hurt by charges",Business,Business
32953,"St. Vincent to Perform on ""Saturday Night Live"" Season Finale",Entertainment,Entertainment
53592,"No, Twitter didn't revoke Recep Tayyip Erdogan's 'verified' check mark",Business,Entertainment
27749,Samsung Galaxy S5 vs Samsung Galaxy S Duos 2 – High-end vs Affordable,Technology,Technology
26397,BoE governor Carney's pay and perks top £1m,Business,Business
37027,Four Loko producer to stop marketing to young adults,Medical,Medical
61086,Second man files sex abuse lawsuit against Bryan Singer,Entertainment,Entertainment
17501,"UPDATE 1-New York Times publisher denies sexism, calls Abramson bad  ...",Business,Entertainment
19540,CDC Warns Ebola Outbreak Will Get Worse,Medical,Medical
686,"General Motors (GM) Appoints John Quattrone as SVP, Global Human Resources",Business,Business
59134,Ahead of the Bell: US new home sales,Business,Business
4687,Soda Drinkers Rejoice After This Court Decision,Medical,Medical
24413,Record Store Day buoys the resurgence of vinyl,Entertainment,Entertainment
30035,"Herbalife's Misleading And Bizarre Guidance, Don't Fall For It",Business,Business
47731,"L'Wren Scott funeral switched to West Coast by Jagger, brother",Entertainment,Entertainment
46309,Google Glass Wearers Attacked In Public,Technology,Technology
35019,Seacrest: Kasem's death is a loss for all radio listeners,Entertainment,Entertainment
5447,"Galaxy S5 Prime release date, price, news: 2k display and finally a full-metal  ...",Technology,Technology
14490,Vital period for UK economy - Scarborough businesses are told.,Business,Business
20814,"Lumia 930 shipment news from Poland, Germany and Switzerland",Technology,Business
24501,Brian Williams Hilariously Reveals Passion For The Bachelorette - WATCH VIDEO!,Entertainment,Entertainment
57670,Brad Pitt Leads WWII Tank Unit Facing Impossible Odds in 'Fury' Trailer (Video),Entertainment,Entertainment
11823,Melissa McCarthy's 'Tammy' Laughs Way to $1.3 Million at Tuesday Box Office,Entertainment,Entertainment
62998,Broken Water Main Floods UCLA,Business,Business
47387,"Argentina's debt fight: What it is, why it matters",Business,Business
40116,"Sunday, March 23 2014 07:07 PM",Business,Business
8312,EMG electrodes help control prosthetic,Medical,Medical
165,Bieber has defiant demeanor during deposition in Miami,Entertainment,Entertainment
30183,'World's biggest dinosaur' discovered in Argentina,Technology,Technology
26594,Jitters over Iraq boost gas prices,Business,Business
63993,Honda Recalls About 900000 Odyssey Minivans,Technology,Technology
3835,China's trade volumes creep up in April,Business,Business
20175,Zac Efron reveals the cast of High School Musical would film another movie,Entertainment,Entertainment
11678,Fast & Furious 7 production now continues with Paul Walker's brothers,Entertainment,Entertainment
31455,Is the Federal Reserve Really Our Economy's Main Line of Defense?,Business,Business
695,Microsoft Said To Drop Windows Phone Fees For Some Smartphone OEMs,Technology,Technology
49792,Amazon Smartphone Release May Be June 2014 (Rumor),Technology,Technology
31904,New Zealand dollar shines in subdued currency market,Business,Business
12235,Leidos (LDOS): Moving Average Crossover Spotted,Business,Business
33210,Theo James' month of stunts,Entertainment,Entertainment
49669,"Best Buy Turns To Profit In Q1, Adj. EPS Tops View; Sees Lower Comps In Q2, Q3",Business,Business
13801,Microsoft announces new Windows Surface 3,Technology,Technology
56386,'Weird Al' Yankovic is tacky and he knows it,Entertainment,Entertainment
25711,Draghi Says Rate Cut and QE Are ECB Options to Fight Deflation,Business,Business
57176,Learning a second language in adulthood can delay onset of dementia,Medical,Medical
39549,Netflix to Pay Verizon for Faster Access to Broadband Network,Technology,Technology
28829,Smart Talk: Beyond the challenge -- what to know about ALS,Entertainment,Entertainment
51022,Nah! Kim and Kanye won't be selling their wedding pics for $1m!,Entertainment,Entertainment
30433,Marvel Appoint Scott Derrickson To Direct 'Doctor Strange',Entertainment,Entertainment
4451,"EU citizens have the right to be forgotten, rules ECJ",Technology,Technology
35441,OKCupid CEO once donated to anti-gay politician,Technology,Technology
37963,Allergies get crossed up,Medical,Medical
30415,Heartbleed strikes the heart of Internet and you can't do anything to protect yourself,Technology,Technology
7011,Fixing lethal car fault would have cost just 41 cent,Technology,Technology
7817,Wurst's Eurovision win shows pop still political,Entertainment,Entertainment
54581,World Week Ahead: Dark clouds over China,Business,Business
31953,How to Rank Up Fast in Titanfall,Technology,Technology
33868,Guest Opinion: Why the Johnson and Crapo 'Taxpayer Protection Act' will not  ...,Business,Business
18072,"GRAINS-Wheat falls on easing Ukraine tensions, soy rises from 1-month low",Business,Business
64031,Barnes & Noble tuns the page on Nook tablets,Business,Business
47974,HP reports higher profit but cuts up to 16000 mor...,Business,Business
26171,Gwyneth Paltrow and Chris Martin: Discretion key to friendly uncoupling?,Entertainment,Entertainment
25396,Treasury Secretary Lew Hopes to Prevent Further Corporation Inversion Tax Deals,Business,Business
50101,'The Amazing Spider-Man 2': MovieMantz Review,Entertainment,Entertainment
16596,"PS4 System Update 1.70 will include ShareFactory, HDCP off switch and more",Technology,Technology
34396,Ebola outbreak feared to worsen,Medical,Medical
25311,"REVIEW: Edge of Tomorrow: Being Tom Cruise, Forever",Entertainment,Entertainment
16419,Amazon's phone helps users shop,Technology,Technology
45135,Flynn: 'Noah' a vessel for multitude of life lessons,Entertainment,Entertainment
4391,Expert view: Apple / IBM deal,Technology,Technology
50062,Beyonce and Jay Z Announce 'On the Run' Summer Tour,Entertainment,Entertainment
53954,Strong earthquakes shake Icelandic volcano on red alert,Technology,Technology
20189,Why Allergan may have to give in to Valeant and Bill Ackman's US$47-billion bid,Business,Business
45295,"Teen smoking and sex is down, texting while driving is up",Medical,Medical
12591,Tesla loses $50 million in Q1,Business,Business
19665,Yahoo News Digest App Hits Android & Goes International,Technology,Technology
38641,Kim Kardashian Steals Sister Kylie's Bikini For Sexy Selfie!,Entertainment,Entertainment
56799,Rosetta: Landing site search narrows,Technology,Technology
5363,US Optimism Supports Dollar and Other Top Forex News.,Business,Business
26762,Gomez' parents opposed to Bieber reunion,Entertainment,Entertainment
22667,Comcast's Cohen Calls Hastings Peering Arguments 'Hogwash',Technology,Technology
57473,Jason Biggs Takes a Dig at Tara Reid's Body,Entertainment,Entertainment
36579,Tax day approaching: What you need to know before filing,Business,Business
40987,Mila Kunis expecting first child with Ashton Kutcher?,Entertainment,Entertainment
16507,Candy Crush firm could make £4BN,Business,Business
8766,Supermoon tonight is one of 3 this summer,Technology,Technology
12274,"Hey, Apple, What About Those iPads?",Technology,Technology
43924,2 Cases of New Virus in Rhode Island,Medical,Medical
50193,"Apparently Brittany Murphy, Who Died 4 Years Ago, Has A New Movie Coming Out",Entertainment,Entertainment
4892,Dow closes above 17000 as stock rally outpaces economy,Business,Business
43538,New Study Shows Flu Vaccine Reduced Children's Risk of Intensive Care Unit  ...,Medical,Medical
57133,8 Stories You Need To Know,Entertainment,Entertainment
14222,Andi visits the final four bachelor's hometowns,Entertainment,Entertainment
11600,Dear TV Business: Cord Cutters Are Not Your Enemies. They're Your Fans.,Technology,Entertainment
28129,US judge to hold hearing in Argentina bondholder litigation,Business,Business
62314,"Tim Cook calls Yukari Kane's new Apple book ""nonsense""",Technology,Technology
2346,Box Office: 'Noah' Opens on Par With 'Gravity' in Mexico,Entertainment,Entertainment
15513,Kate Winslet Explains Baby's Name “Bear Blaze” on Ellen (VIDEO),Entertainment,Entertainment
14213,Kim Kardashian disgusted by racism,Entertainment,Entertainment
37415,"Patrol, police hunting for distracted drivers",Technology,Entertainment
17194,Advanced prosthetic arm approved for US market after success with soldiers,Medical,Medical
23965,"Honduras Mine Disaster: 3 Miners Rescued, 8 Feared Dead",Business,Business
53767,Was Macklemore trying to pull off an anti-Semitic costume?,Entertainment,Entertainment
6709,Who Should Pay To Keep The Internet's Locks Secure?,Technology,Technology
34621,Janet Yellen says job market still needs boost from Fed,Business,Business
29999,Report: YouTube to Buy Twitch For $1Billion,Technology,Technology
56499,Brian Williams Reports His Daughter Allison's Casting in Peter Pan,Entertainment,Entertainment
25768,"Mariah Carey, 'Me. I Am Mariah... The Elusive Chanteuse': Track-by-Track Review",Entertainment,Entertainment
6145,250 New Emoji Icons Are Coming Soon To iPhone And Android,Technology,Technology
13167,Has The Fed Become A Permanent Friend?,Business,Business
15947,NASA may Test Saucer-Shaped Vehicle on Tuesday,Technology,Technology
27044,Astronauts getting espresso maker in space,Technology,Technology
54680,Thai junta makes long-delayed payments to rice farmers,Entertainment,Entertainment
16991,Ford Just Absolutely Destroyed Cadillac's Ad Praising Rich Guys Who Work All  ...,Technology,Technology
36548,The Voice Final Performances — Duets win the day,Entertainment,Entertainment
57706,Ariana Grande Drops F-Bombs While Performing Live on MTV - WATCH VIDEO!,Entertainment,Entertainment
31251,Richard Linklater on 'Boyhood' and the Film That Shaped His Non-Hollywood  ...,Entertainment,Entertainment
63722,Star Wars: Episode VII day one in Abu Dhabi,Entertainment,Entertainment
64792,US Fed announces further cut in monthly bond purchases,Business,Business
53596,AZ updates on oncology pipeline at ASCO,Medical,Business
31027,Large-Scale DDoS Attacks Continue to Spike,Technology,Technology
25925,Sarah Michelle Gellar cancels her subscription to Vogue over Kardashian cover,Entertainment,Entertainment
48277,A German magazine is reporting that families that control Fiat and Volkswagen  ...,Business,Business
9823,West Nile virus leads to Martinez fogging,Medical,Medical
42024,Sales of U.S. existing homes sink to 20-month low,Business,Business
51606,Belvidere Built Jeeps and Darts Hot Sellers in May,Business,Entertainment
65239,Justin Bieber's Shocking Deposition Footage: Pop Star Admits To Illegal Xanax  ...,Entertainment,Entertainment
4589,"SanDisk Corporation to Acquire Fusion-IO, Inc. for $1.1B (SNDK)",Business,Business
18110,Twitter Results Top Estimates,Business,Business
4118,Titanfall Fans In South Africa Ask EA To Let Them Play,Technology,Technology
37182,NASA ISS On-Orbit Status 16 July 2014,Technology,Technology
8026,Absence of Federal Regulation Makes E-Cigarette Companies try Different  ...,Medical,Medical
45450,This Is the Ultimate Reason Why You Should Ditch Cable,Technology,Entertainment
13677,How Far Will Game of Thrones Season 5 Stray from George R.R. Martin's Books?,Entertainment,Entertainment
27069,Chinese vessel 'rams' and sinks Vietnamese fishing boat,Business,Business
56342,Mark Wahlberg avoids the green goo as Kevin Hart wins 1st award at Kids  ...,Entertainment,Entertainment
14458,'Star Wars VII' talk suggests unannounced female role,Entertainment,Entertainment
61526,"Philadelphia, Cumberland Counties Least Healthy: Report",Medical,Medical
46874,Stephen Colbert Dresses as Spy to Host 'The Hobbit' at Comic-Con,Entertainment,Entertainment
18192,"Russia cuts gas supply to Ukraine - KTUL.com - Tulsa, Oklahoma - News  ...",Business,Business
5036,"Alcohol-related deaths on the rise, says World Health Organization",Medical,Medical
9227,First 'Fifty Shades' footage debuts at CinemaCon,Entertainment,Entertainment
1354,"Easton air quality among worst in nation, study finds",Technology,Medical
29156,Topless again! Kim Kardashian wears nothing but sheer black tights to wish  ...,Entertainment,Entertainment
65398,"Recall Of 3 Million Airbags By Nissan, Honda And Mazda",Technology,Technology
36608,"Mortgage Interest Rates Edge Down at Citibank, Chase Jun 28, 2014",Business,Business
53762,Alex Trebek Named Longest-Running Game Show Host By Guinness World  ...,Entertainment,Entertainment
21741,"Miley Cyrus Jokingly Attacks Avril Lavigne -- ""Dumb F--kin' Bitch!"": Watch Here!",Entertainment,Entertainment
57872,"'Captain America' Stays Atop Box Office, 'Heaven Is for Real' a Strong Third",Entertainment,Entertainment
11623,Pennsylvania Dental Association Installs Dr Steve Radack as President,Medical,Technology
10827,VIDEO: China Evacuates 3000 Citizens From Vietnam Amid Protests,Business,Business
34526,Tech stocks' rapid descent bringing high-flying companies back to earth,Business,Business
59356,"In US, MERS patients did not spread infection to close contacts -CDC",Medical,Medical
16101,Mercedes-Benz recalls 284000 C-Class cars in US and Canada,Technology,Technology
61965,Elizabeth Arden Loss Widens -- Update,Business,Business
9158,Jonah Hill Apologizes for Using Homophobic Slur,Entertainment,Entertainment
21000,"Justin Sullivan, Getty Images",Technology,Entertainment
6171,AstraZeneca Board Rejects New Pfizer Offer,Business,Business
26017,TIM HARPER: Tim Hortons deal perks up Conservatives,Business,Business
43242,Two Unknown Actors Join the Cast of Star Wars: Episode VII,Entertainment,Entertainment
64157,"Mosquitoes negative for West Nile, EEE viruses, say RI officials",Medical,Medical
14371,"Unemployment dips to six-year low of 6.1%, Dow closes above 17K as economy  ...",Business,Business
58334,"FTC Notifies Facebook, WhatsApp of Privacy Obligations",Technology,Technology
40208,Phillip Grigg was critically injured in a shootout with a robbery suspect on New  ...,Entertainment,Entertainment
59791,IBM Q1 revenues fall 2pc to US$22.5bn,Business,Business
64605,Dollar index holds near 6-month highs in subdued trade,Business,Business
51516,"Miami-Based Burger King In Talks To Purchase Tim Hortons, Move To Canada",Business,Business
13346,Superman Comic Sells for $3.2 Million,Entertainment,Entertainment
33751,Microsoft reiterates focus on cloud and mobile,Business,Technology
17254,"Mosquito-borne virus may soon hit GA, health dept. warns",Medical,Medical
43779,Researchers study why male babies generally have worse outcomes than females,Medical,Medical
64447,Briton with Ebola arrives in London hospital,Medical,Medical
4969,Congress Asked Some Really Weird Questions at the Alien Life Hearing,Technology,Entertainment
16983,Citigroup Inc (NYSE:C) To Pay $7 Billion In Mortgage settlement,Business,Business
44767,Remembering Maya Angelou,Entertainment,Entertainment
3233,Justin Bieber talks about 'joining the Klu Klux Klan' in disturbing new video,Entertainment,Entertainment
40892,happy pi day,Technology,Entertainment
3880,Search for missing Malaysian jet expands from Australia to Kazakhstan,Business,Business
17397,"Mom copies 50s Copppertone ad, banned from Facebook",Technology,Technology
47836,'The Bachelor' Juan Pablo naked pictures? Nikki Ferrell has the nude photos,Entertainment,Entertainment
55055,Has your tax burden gone up in the past 10 years?,Business,Business
40210,Jury selection in latest Apple-Samsung patent lawsuit may be challenging,Technology,Technology
32478,"Report ranks Rockingham as NH's healthiest county, Coos as least healthy",Medical,Medical
28973,"President of Taco Bell Says He Doesn't Know What 4/20 Is, Wants Canada To  ...",Business,Business
50124,Taco Bell Debuts 2nd Breakfast Spot,Business,Business
36845,"She may play her nemesis in Maleficent, but offscreen Angelina Jolie and Elle  ...",Entertainment,Entertainment
28718,Ebay tells customers to change passwords after major data breach,Technology,Technology
17897,Party approaches to mental health are miles apart,Medical,Medical
19778,Amazon's Music Service Said to Hit Snags With Universal,Entertainment,Entertainment
32827,US STOCKS SNAPSHOT-Wall St opens lower on growth concerns,Business,Business
10925,'Game of Thrones' Season 4 Episode 3: 'Breaker of Chains',Entertainment,Entertainment
11307,Colon cancer rates drop sharply,Medical,Medical
34664,Amazon in talks with UK networks regarding Fire phone,Business,Technology
18293,Review raises questions about Tamiflu,Medical,Entertainment
30946,Feds Say New Cars Must Have Backup Cameras By Model-Year 2019,Technology,Technology
58746,Kim Kardashian got her daughter diamond earrings for her first birthday,Entertainment,Entertainment
12359,China's industrial output growth at five-year low,Business,Business
19735,Sydenham's Rolf Harris admits he admired a 13-year-old's body,Entertainment,Entertainment
55630,VIDEO: Apple Already Has Its First Victory In New $2B Samsung Patent Fight,Technology,Technology
1236,Whoopi Goldberg debuts as marijuana columnist,Entertainment,Entertainment
43655,The Phony War on Obama's Plan to Curtail Coal-Fired Power,Business,Business
56667,"Jessie J teams up with Ariana Grande, Nicki Minaj for 'Bang Bang'",Entertainment,Entertainment
31439,Spec showdown: LG G Watch vs. Samsung Gear Live,Technology,Technology
6065,Kate Winslet named baby after house fire,Entertainment,Entertainment
7472,Game of Thrones Season 4 'Secrets' Trailer Sizzles Plus Premiere Date,Entertainment,Entertainment
24715,George Clooney steps down from UN peacekeeping role,Entertainment,Entertainment
11583,Today in the News: Lunar eclipse 'blood moon' to appear overnight,Technology,Technology
19067,Cannes: Man Dives Under Ugly Betty Star's Skirt,Entertainment,Entertainment
45202,Vietnam stifles new protests as China fumes,Business,Business
28439,"Saudi health official fired, MERS toll up",Medical,Medical
30232,Indus River Dolphin Populations Declining Due to River Dams,Technology,Technology
65350,Serious Microsoft Internet Explorer security flaw exposed,Technology,Technology
52833,Rendering- 2015 Mercedes M Class facelift,Technology,Technology
39000,Noyer Says Strong Euro Creates Unwarranted Economic Pressure,Business,Business
12351,"Australia, activists hail verdict on Japan's whaling hunt",Technology,Technology
38431,Christina Aguilera Announces Baby's Gender at Malaysia Concert,Entertainment,Entertainment
49459,"Apple to unveil 'iWatch' on September 9, a tech site reports",Technology,Technology
54769,San Francisco Clamps Down On Monkey Parking App That Allows Drivers To  ...,Business,Business
39546,Credit Suisse says not found anything materially untoward in its forex trading,Business,Business
59581,Ford exec: Another mega-hit like Mustang unlikely,Technology,Technology
59960,Nest's Dropcam Buy Offers Consumer-Friendly Surveillance,Technology,Technology
22639,Mad Men Season 7: 25 Best Moments From Time Zones,Entertainment,Entertainment
36239,"Dancing with the Stars Recap: Monday, May 12, 2014",Entertainment,Entertainment
49148,Canadian County Tops Oklahoma Population Growth,Business,Business
46679,Washington Redskins Name Change? Twitter Has A Few Suggestions,Business,Business
8865,Five things you should know about spring allergies,Medical,Medical
31172,Consumers nudge up spending in May,Business,Business
17272,Mozilla Offers an Idea for Solving Net Neutrality Problem,Technology,Technology
37613,"Allergan (AGN) Files Complaint Against Valeant (VRX), Pershing Square  ...",Business,Business
49561,Search for missing Malaysia Airlines jet: As it happened on Sunday,Business,Business
24900,Top 5 Epic Fails at the 2014 MTV Movie Awards,Entertainment,Entertainment
16935,"Yesterday, Kim Kardashian and Kris Jenner took the trip from NYC to the  ...",Entertainment,Entertainment
5834,Credit Suisse to pay $2.6bn after pleading guilty to tax evasion,Business,Business
5247,Beyonce breaks down in front of fans as her smash Mrs Carter tour finally comes  ...,Entertainment,Entertainment
18410,"Premarket: European stocks dip as bank fines mount, QE hopes dim",Business,Business
64244,Facebook gets virtual-reality start-up for $2B,Technology,Technology
31790,Fans to mark MJ's fifth anniversary,Entertainment,Entertainment
24705,Miley Cyrus stars in completely MENTAL 'Magic Brain' video about LSD with  ...,Entertainment,Entertainment
9343,More than 100 get virus on California cruise,Medical,Medical
44990,"S&P edges past 2000, a record",Business,Entertainment
201,Dr. Dre's 'First Billionaire in Hip – Hop' Facebook Post Strengthens Possibility of  ...,Technology,Technology
4415,Attenborough had one more story to tell,Entertainment,Entertainment
26809,"'Orphan Black' Season 2, Episode 6 Recap: Fun Times In Cold River",Entertainment,Entertainment
51117,"TV Review: On 'Orphan Black,' the characters sell the stories",Entertainment,Entertainment
43410,Saudi Arabia fires deputy health minister over Mers,Medical,Medical
53437,"Bank Of America: Buy The Panic And Take Advantage Of Mindless, Anxiety  ...",Business,Business
62328,GM recalls 218000 Aveo cars in US,Technology,Technology
33790,Our View: Don't neuter Net neutrality,Technology,Technology
