No,Comment,Class
763,http://www.bubblews.com/news/6401116-vps-solutions﻿,spam
764,Check out this video on YouTube:﻿,spam
766,Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great! This Is My New Gaming Channel (Have Not Uploaded Yet)But I Will Upload If I Hit About 10 Subs Thank You :D﻿,spam
772,follow me on instagram bigboss286﻿,spam
776,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,spam
777,hey guys!! visit my channel pleaase (i'm searching a dream)﻿,spam
778,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,spam
779,http://www.gofundme.com/Helpmypitbull Can you please donate to help my pitbull PLEASE!!! I just need 50 dollars to take it to the vet!!!﻿,spam
780,Subscribe and Win a CAP       ☆☆☆☆☆﻿,spam
781,FREe ITunes Gift card http://shhort.com/a?r=x6J4gBrne﻿,spam
782,Check out this video on YouTube:Eminem is amazing. ﻿,spam
783,like if ur watchin in 90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                              1﻿,spam
784,"Rap from Belarus, check my channel:)﻿",spam
785,share your thoughts﻿,spam
787,"Check out Melbourne shuffle, everybody!﻿",spam
788,I am so awesome and smart!!! Sucscribe to me!﻿,spam
789,Subscribe to me and I'll subscribe back!!!﻿,spam
797,"i was playing this song and the baby in my belly started to dance to  it.....sooooo cute, but had to take the song out cause of copy right and  add in a youtube made song....still sooo cute the baby danced to this song  LMFAO!!! https://plus.google.com/111982027348137311818/posts/g2JVinPueMo﻿",spam
798,Yo like what up this song is fricking beast anywon herd the see mee rollin or I woke up in a new Buggti check out nuketown rap I was shooting in it see my nice quick scoping things training for faze adoult freind sang I was at my freinds house doing it we just had the rap going and we were doing fun things ﻿,spam
800,If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,spam
807,Check out this video on YouTube:hjalp﻿,spam
815,"hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&theater ﻿",spam
821,Please check out my vidios guys﻿,spam
823,plese subscribe to me﻿,spam
824,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,spam
828,"Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.﻿",spam
830,please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,spam
845,"Hey Guys, I know you tend to skip these comments, but Take a look first.  I am Free Fire, A Big Room, Progressive House, Deep House, Dubstep &  Chillstep Producer from a small town in Missouri. Down here, I have no  support from the community, and all I really ask is some critiquing,  Support, and Views.   My Music has gotten much better then what it was 10 months ago, and I  promise my new content should be more then satisfying. Soon I should be  able to advertise and I wont pester you guys anymore.  So gimme a chance and check out my music, thanks and god bless.﻿",spam
848,Hey plz check out my music video. Thanks!! :-)﻿,spam
850,Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,spam
851,Pleas subscribe GamezZ MTA my channel﻿,spam
852,Check out this video on YouTube:Qq﻿,spam
853,check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿,spam
854,+447935454150 lovely girl talk to me xxx﻿,spam
856,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,spam
858,Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,spam
861,Check out this playlist on YouTube:pl﻿,spam
871,https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,spam
873,https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿,spam
875,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",spam
877,Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!﻿,spam
878,Check out this playlist on YouTube:י⛺🏤⛺⛺﻿,spam
881,give it a like﻿,spam
882,"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿",spam
888,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,spam
889,"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",spam
896,Check my channel please! And listen to the best music ever :P﻿,spam
899,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,spam
900,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,spam
902,"Check my channel, please!﻿",spam
911,For latest movies 2014 please visit this site  http://www.networkedblogs.com/p/11cPWb?ref=panorama﻿,spam
912,Nicee!!sabrosura viva https://soundcloud.com/yerki-elinmigrante/yerki-myb-move-your-body﻿,spam
915,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,spam
929,Check out this video on YouTube:..🌈🌈🌈﻿,spam
930,Please check out my acoustic cover channel :) thanks ﻿,spam
932,Thumbs up if shrek is gay 👍﻿,spam
935,http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,spam
936,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",spam
937,"http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&CREA=RAW&rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!﻿",spam
942,Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,spam
943,https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,spam
944,http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,spam
950,https://binbox.io/DNCkM#qT4Q1JB1﻿,spam
952,Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,spam
953,https://www.tsu.co/Aseris get money here !﻿,spam
958,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",spam
960,"Check out our vids, our songs are awesome! And that I guarantee :)﻿",spam
962,Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,spam
963,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,spam
964,sub my channel for no reason -_-﻿,spam
966,Come check out our parody of this!﻿,spam
982,this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,spam
989,Please subscribe every sub gets a shout out tell me what type of videos u  want and I will try make it happen﻿,spam
993,Check out my music niggas﻿,spam
998,EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,spam
1002,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,spam
1006,http://shhort.com/a?r=HuPwEH5ab﻿,spam
1007,Please subscribe to me﻿,spam
1012,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",spam
1014,YAY IM THE 11TH COMMENTER!!!!!                                    IF YOUR  CRAZY PLEASE DONATE BITCOINS TO ME AT: 1FHeNqx1twqM153v2PTAyieJNEALAhZvEM﻿,spam
1020,subscribe to itz recaps and above diddle﻿,spam
1025,Go check out my rapping video called Four Wheels please ❤️﻿,spam
1028,Check me out I'm all about gaming ﻿,spam
1029,Check out pivot animations in my channel﻿,spam
1030,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,spam
1033,Can you check my videos please? Don't hate me :( Give me one oportunity﻿,spam
1035,subscribe to my channel yo - DJ Feelz﻿,spam
1048,Check out my covers I have a video coming out  please subscribe﻿,spam
1049,great l subscribe﻿,spam
1056,subscribe to me for call of duty vids and give aways Goal-100 subs﻿,spam
1061,if you want to win money at hopme click here https://www.paidverts.com/ref/sihaam01 it's work 100/100﻿,spam
1064,"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",spam
1066,I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX﻿,spam
1067,"Help shakira's waka waka be the first song by a female artist to reach 1 billion views.(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)https://www.youtube.com/watch?v=pRpeEdMmmQ0﻿",spam
1071,Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,spam
1073,ima rapper trying to get notice please check out my mixtape   datpiff.com/mixtapes-detail.php?id=633807﻿,spam
1075,"Youtube comments in a nut shell:.First.301 club.Skip to 3:57 and close your eyes.Advertisements.like this comment for no reason.Christianity arguements.Other religious arguements.Console wars.#PCMASTERACE.Trolls.""How is there 1 million views on the this video if theres online 10 people on earth/.Complaints.Pewdiepie fangirls.Minecraft scrubs./r/MontageParodiesAND ANY OTHER SHIT!!﻿",spam
1077,Check out this playlist on YouTube:hbbhhhgh﻿,spam
1079,this video has 800+m viewsand the channel got 3m subscribers﻿,spam
1083,"KATY PERRY, I AM THE ""DÉCIO CABELO"", ""DECIO HAIR"". I AM 60 YEARS OF AGE. I  DON""T HAVE FAMILY. I""M SINGLE. ALONE. HOMELESS. I WAS AN ALCOHOLIC: 15 AT  THE AGE OF 46. I AM AN INVISIBLE COMPOSER. MY DREAM IS TO RECORD MY SONGS.  COULD YOU HELP ME? PLEASE! PLEASE! I TRUST THAT THE YOU WILL GIVE ME A  CHANCE. I HAVE 109 VIDEOS IN THE YOUTUBE: deciocabelo canal. KATY PERRY, I  WAS BORN IN OCTOBER 25, TOO. THANK YOU VERY MUCH!!! DECIO HAIR.﻿",spam
1085,https://viralangels.com/user/d4aaacwk﻿,spam
1087,see thishttp://adf.ly /1HmVtX﻿,spam
1088,Check out this video on YouTube:      ﻿,spam
1090,if watching in 2015 subscribe to +SuperMarioLogan ﻿,spam
1093,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,spam
1098,me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,spam
1103,The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,spam
1111,PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ﻿,spam
1114,HAPPY BIRTHDAY KATY :) http://giphy.com/gifs/birthday-flowers-happy-gw3JY2uqiaXKaQXS/fullscreen  (That´s not me)﻿,spam
1118,"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",spam
1122,Nice song .See my new track.﻿,spam
1128,The TREU DETECTIVE alternate ending! __ http://www.funnyordie.com/videos/d15fb87973/true-defectives﻿,spam
1130,"At 500 subscribers i'm sky diving help me reach my goal <3Trust me, i'm a doctor.  :)﻿",spam
1132,Subscribe to my channel !﻿,spam
1133,Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿,spam
1134,New way to make money easily and spending 20 minutes daily --> https://www.paidverts.com/ref/Marius1533﻿,spam
1138,Suscribe My Channel Please XD lol﻿,spam
1142,Also LuckyMusiqLive she probably could help u make it big because I think u  have talent. Just look her name up on the internet. Hit me up when u get  this message﻿,spam
1143,Please help me go here http://www.gofundme.com/littlebrother﻿,spam
1144,Check out this playlist on YouTube:﻿,spam
1145,Suscribe my channel please﻿,spam
1151,Incmedia.org where the truth meets you.﻿,spam
1152,this song is so addicting. the hook is dope and catchy. love the video too.  I'm getting popular fast because i rap real.. thumbs up if you piss next to  the water in the toilet so its quiet................................﻿,spam
1154,FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,spam
1155,Subscribe if you are watching in 2015﻿,spam
1156,subscribe to my chanell﻿,spam
1158,i am from Brazil please subscribe my channel love you all﻿,spam
1160,SUBSCRIBE MY CHANNEL PLEASE LOL PRO PLAYS)﻿,spam
1162,Hey subscribe to me﻿,spam
1166,"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿",spam
1167,http://shhort.com/a?r=G8iX5cTKd﻿,spam
1169,Pleas subscribe my channel﻿,spam
1171,My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,spam
1173,The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please﻿,spam
1175,Check out my dance videos!! You won't be disappointed!! #KingLoTheDancer﻿,spam
1177,"Like Gorlin-Goltz Syndrome Support Community, you are not alone. https://www.facebook.com/GorlinGoltzSupport﻿",spam
1183,Katycat! https://m.facebook.com/profile.php?id=1461302180794905﻿,spam
1186,Check out this video on YouTube: I ﻿,spam
1188,http://shhort.com/a?r=Jt2ufxHxc﻿,spam
1191,http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,spam
1193,subscribe to me :) ﻿,spam
1196,We can have a party next share﻿,spam
1197,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",spam
1202,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,spam
1203,subscribe to me and I wil subscribe to you back﻿,spam
1205," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",spam
1213,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,spam
1216,(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,spam
1217,"THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/﻿",spam
1218,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",spam
1228,"Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  <3 ﻿",spam
1230,please visit my channel﻿,spam
1233,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,spam
1240,look at my channel i make minecraft pe lets play ﻿,spam
1243,░░░░░░░/\░░░░░▄▐░░░░░░/     \░░░▄██▄░░░░░/  (o)   \░░░░░▀█▄░░░░/             \░░░░░░▀█▄░░░/__   \   ░▄▄▄▄▄▀▀░░░░▄▄▄██▀▀▀▀░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI░░░▌░▄▄▄▐▌▀▀▀▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED ▀█▌░░░▄░▀█▀░▀ ░░░░░░░▄▄▐▌▄▄░░░░░░░▀███▀█░▄░░░░░░▐▌▀▄▀▄▀▐▄░░░░░░▐▀░░░░░░▐▌░░░░░░█░░░░░░░░█░░░░░▐▌░░░░░░░░░█░░░░░█░░░░░░░░░░▐▌﻿,spam
1245,Subscribe and like to me for more how to videos on minecraft!﻿,spam
1247, Please help me get 100 subscribers by the end of the night. Thx﻿,spam
1251,"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",spam
1252,Check out my YouTube channel I can rap﻿,spam
1253,Check out this video on YouTube:it is a old track but it still bad﻿,spam
1254,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",spam
1256,like this comment please﻿,spam
1257,Can this channel get 500+ subscribers? You can make that happen :D﻿,spam
1265,check out mah girl it duh shit yo﻿,spam
1266,"Need money ? check my channel and subscribe,soon will post how to get it )﻿",spam
1267,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,spam
1269,Check out my acoustic channel ﻿,spam
1272,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,spam
1273,Check out this video on YouTube: http://www.youtube.com/user/jlimvuth ... Eminem ft Rihanna - Love the way you lie﻿,spam
1280,watch?v=vtaRGgvGtWQ   Check this out .﻿,spam
1281,Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00﻿,spam
1286,Gusttavo Lima Você não me conhece Check out﻿,spam
1289,Check out this video on YouTube﻿,spam
1294,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,spam
1297,https://www.tsu.co/KodysMan plz ^^﻿,spam
1298,Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,spam
1,this song is racist,not spam
4,well done shakira,not spam
8,Nice song ^_^,not spam
9,This makes me miss the world cup,not spam
12,:),not spam
13,She is good,not spam
15,beautiful,not spam
22,her voice is so wow!,not spam
25,Shakira :-*,not spam
26,wow,not spam
27,the best!,not spam
30,Shakira is perfect,not spam
43,Shakira is very beautiful,not spam
44,Shakira,not spam
46,She is perfect! &lt,not spam
47,Shakira u are so wiredo,not spam
50,Beautiful song beautiful girl it works,not spam
54,good!!,not spam
60,I love it,not spam
61,She is perfect,not spam
63,I love this song because we sing it at Camp all the time!!,not spam
64,Waka waka,not spam
78,Wow,not spam
81,I love you,not spam
88,i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,not spam
89,Shakira I love you,not spam
90,Your a fucking bitch,not spam
91,I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa,not spam
97,Shakira voice sound spanish but that is what make the music sound amazing ♥I LOVE IT,not spam
98,God she is so hot,not spam
99,Love this song!!!,not spam
100,i like and love so much people all friends..... I love Shakira ^^,not spam
102,Where are Shakifans?,not spam
103,like!!!!!,not spam
105,Shakira is the best dancer,not spam
108,she is sooooo beautiful!,not spam
109,Ouf Ouf OUFFFFFFFFFFFFFFFFFF!!!!!!!! :),not spam
110,I love this song,not spam
113,shakira is the best!,not spam
115,I like,not spam
116,Nice,not spam
118,so beutiful,not spam
120,awesome,not spam
121,best song eva,not spam
126,Love this song !!!!!!,not spam
130,I always have goose bumps at that part,not spam
135,Waka waka she rules,not spam
138,god she is so sexy! drives me crazy!,not spam
142,I want new song,not spam
151,"I want to see Shakira, not football :)",not spam
157,OMG LOVE THIS!,not spam
159,I love dis song!! 3,not spam
160,Love it,not spam
169,cool,not spam
171,this song always gives me chills! :),not spam
172,WOw,not spam
177,This Song will never get old,not spam
179,I remember this :D,not spam
332,It's been back for quite a while now.,not spam
337,2 Billions in 2014,not spam
339,Charlie from LOST?﻿,not spam
340,who is going to reach the billion first : katy or taylor ?﻿,not spam
341,The best song ever!﻿,not spam
343,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,not spam
344,NICE :3﻿,not spam
347,Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much﻿,not spam
348,"I've figured out why I dislike this song: it's supposed to be a power  ballad right? Something that's uplifting and motivating by the end.  However, the final chorus has NO extra UMPH at the end and actually sounds  just like the first one. Instead of crescendo-ing into a powerful finish,  ""Roar"" just says on the same wavelength. It falls flat.﻿",not spam
349,"LMFAO - Party Rock Anthem ft. Lauren Bennett, Goo…: https://youtu.be/KQ6zr6kCPj8 BOX MAN GOT SOME MOVES! :D HE MAKES MEH SMILE﻿",not spam
350,I like how the robot shuffles he shuffles good﻿,not spam
351,I'm not a big fan of the song but this video is awesome!﻿,not spam
355,when is this gonna hit 2 billion?﻿,not spam
356,Shakira - Waka Waka LOVE THIS SONG!!!!!!!!!!!!!!!﻿,not spam
357,one of the BEST SONGS in music history﻿,not spam
359,The population of world is more than 7 billion﻿,not spam
361,Wanderfol is love or miusic﻿,not spam
363,she is horrible at acting. cringe-worhty.﻿,not spam
364,still listening in 2015﻿,not spam
366,cool cool cool cool cool cool cool﻿,not spam
367,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",not spam
373,I love this song so much﻿,not spam
374,"katy perry does remind me of a tiger,like as if its her spirit animal :3 <3﻿",not spam
375,2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,not spam
376,Charlie got off the island and dated Megan Fox? b-but what about claire?﻿,not spam
378,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",not spam
380,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,not spam
384,"This song is the most boring, asinine song I have ever heard. Coming from a  guy who liked ""Teenage Dream"" (the song). Ever since Katy Perry's divorce  it's wave after wave of shitty but successful songs... For those of you  saying ""This is the next wave of pop music"". Stick it up your ass. Katy  Perry is like Silly Putty. ﻿",not spam
386,Who knows the name of that girl?.. and that one.. and that one...﻿,not spam
388,"This is so cool,why haven't I heard this before?﻿",not spam
390,"When I hear Katy singing this, I cry. The song has got depth.﻿",not spam
391,I'm here to check the views.. holy shit﻿,not spam
393,I love this song so much!:-D I've heard it so much I pretty much memorized  the lyrics﻿,not spam
396,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,not spam
398,LoL﻿,not spam
399,"2 billion views, only 2 million shares﻿",not spam
400,I love song ﻿,not spam
403,love!!!!﻿,not spam
404,this has so many views﻿,not spam
405,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",not spam
407,This song is just really fun ﻿,not spam
415,This is getting old.........﻿,not spam
416,thumbs up if you think this should have 1 billion views﻿,not spam
418,1000000000 views.﻿,not spam
421,I love you Shakiria!!!!!!﻿,not spam
422,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",not spam
426,love﻿,not spam
427,Great music anyway﻿,not spam
428,"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",not spam
430,this song is NICE﻿,not spam
432,wierd but funny﻿,not spam
433,Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,not spam
436,i love this song so much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
439,"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",not spam
441,You can not hate eminem and nirvana...trust me﻿,not spam
442,cool﻿,not spam
443,I like it﻿,not spam
445,I miss this song. 😢﻿,not spam
446,the most viewed youtube video of all time?﻿,not spam
449,BEST SONG! GO SHAKI :D﻿,not spam
450,just :( superr!!!﻿,not spam
451,Good video﻿,not spam
452,MANY MEMORIES...........﻿,not spam
454,"So,cool！！﻿",not spam
458,:D﻿,not spam
459,Dang Dat little kid gat moves﻿,not spam
460,She looks like Megan Fox 😂 xD!!﻿,not spam
461,Remove This video its wank﻿,not spam
462,What is he saying?!?!?!?!?!?!?!?$? ﻿,not spam
463,fave song﻿,not spam
464,Best song ever!!!!﻿,not spam
465,"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",not spam
466,What nicei⛺♥♥♥♥﻿,not spam
467,Hi loving it﻿,not spam
468,beautiful song!﻿,not spam
469,"Every collaboration between them, we know it will be number 1 ﻿",not spam
470,The Guy in the yellow suit kinda looks like Jae-suk ﻿,not spam
473,Since when has Katy Perry had her own YouTube channel?﻿,not spam
476,I love your songs eminem your the rap god﻿,not spam
478,Wow I love it ﻿,not spam
480,i think about 100 millions of the views come from people who only wanted to  check the views﻿,not spam
481,"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.﻿",not spam
482,I love this shit but I disliked it because it's sucks﻿,not spam
483,No-I hate The Way U LIe!!﻿,not spam
486,"Every time I hear this song, I think about Iniesta's goal against the Netherlands...﻿",not spam
487,THIS IS SHIT AND SOOOOO AUTOTUNED﻿,not spam
488,This was such an epic track. And the video is awesome!﻿,not spam
489,If she really did this there she's hardcore﻿,not spam
492,Is that Charlie from lost?﻿,not spam
495,Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿,not spam
496,i want to smack this year boy in to forever﻿,not spam
498,SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY FUCK﻿,not spam
499,Honestly speaking except taylor swift and adele i don't lile any of the  modern day singers. But i must say whenever i hear this song i feel  goosebumps. Its quite inspiring!! Thanks miss Perry!﻿,not spam
501,Ah. Good old times (:﻿,not spam
503,Good times. ﻿,not spam
506,Nice vídeo shakira good﻿,not spam
508,Very Nice !﻿,not spam
509,Best song ever made i swear :D i still hear even doe it old!! who else?﻿,not spam
510,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",not spam
512,:3﻿,not spam
513,This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,not spam
514,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,not spam
515,i love this song thumsb up to you﻿,not spam
516,Love this song makes me wanna dance! ﻿,not spam
